num,fundCode,fundName,fundLink,trendLink,baLink,netValue,netDate,m1,m3,m6,y1,y2,y3,thisyear,setup,discount,ratefee,buy,buyLink,dtLink
1,002038,华安新希望混合C,https://jingzhifunds.hexun.com/002038.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002038,"https://jijinba.hexun.com/002038,jijinba.html",3.8030,12-25,-0.37%,261.64%,269.94%,279.92%,--,--,279.54%,280.30%,--,--,0,,
2,005412,金信民长混合A,https://jingzhifunds.hexun.com/005412.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005412,"https://jijinba.hexun.com/005412,jijinba.html",1.8814,01-26,88.14%,88.14%,88.14%,88.14%,--,--,-11.68%,88.14%,--,--,0,,
3,005413,金信民长混合C,https://jingzhifunds.hexun.com/005413.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005413,"https://jijinba.hexun.com/005413,jijinba.html",1.7873,01-26,78.73%,78.73%,78.73%,78.73%,--,--,-11.69%,78.73%,--,--,0,,
4,003621,新华鑫丰混合,https://jingzhifunds.hexun.com/003621.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003621,"https://jijinba.hexun.com/003621,jijinba.html",1.7286,09-01,2.28%,64.41%,--,--,--,--,--,72.86%,--,--,0,,
5,001713,华润元大中创100,https://jingzhifunds.hexun.com/001713.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=001713,"https://jijinba.hexun.com/001713,jijinba.html",1.1129,09-10,58.19%,61.38%,58.87%,44.91%,8.15%,6.81%,57.19%,11.29%,5折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=001713&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=001713&knownChannel=hexun_jjjz_dinggou
6,003497,银华添泽定开债券,https://jingzhifunds.hexun.com/003497.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003497,"https://jijinba.hexun.com/003497,jijinba.html",1.8108,12-31,56.41%,57.54%,59.18%,62.29%,67.50%,75.58%,62.29%,89.33%,--,--,0,,
7,008180,同泰慧利混合A,https://jingzhifunds.hexun.com/008180.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=008180,"https://jijinba.hexun.com/008180,jijinba.html",1.5094,01-26,50.94%,50.94%,50.94%,50.94%,--,--,50.94%,50.94%,--,--,0,,
8,008181,同泰慧利混合A,https://jingzhifunds.hexun.com/008181.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=008181,"https://jijinba.hexun.com/008181,jijinba.html",1.5000,01-26,50.00%,50.00%,50.00%,50.00%,--,--,50.00%,50.00%,--,--,0,,
9,002187,国联安鑫富混合C,https://jingzhifunds.hexun.com/002187.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002187,"https://jijinba.hexun.com/002187,jijinba.html",1.4370,03-15,0.20%,43.43%,36.26%,35.82%,37.51%,--,43.11%,39.52%,--,--,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=002187&knownChannel=hexun_jjjz_goumai,
10,502025,鹏华钢铁指数分级B,https://jingzhifunds.hexun.com/502025.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=502025,"https://jijinba.hexun.com/502025,jijinba.html",1.6030,12-31,17.90%,41.02%,62.23%,12.45%,14.02%,-52.24%,12.45%,-50.86%,--,--,0,,
11,007141,嘉合稳健增长混合A,https://jingzhifunds.hexun.com/007141.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=007141,"https://jijinba.hexun.com/007141,jijinba.html",1.3920,01-27,39.20%,39.20%,39.20%,39.20%,--,--,-7.78%,39.20%,--,--,0,,
12,502058,广发医疗指数分级B,https://jingzhifunds.hexun.com/502058.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=502058,"https://jijinba.hexun.com/502058,jijinba.html",1.5360,08-20,-3.46%,38.48%,64.44%,143.46%,251.39%,236.47%,111.18%,-15.59%,--,--,0,,
13,007142,嘉合稳健增长混合C,https://jingzhifunds.hexun.com/007142.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=007142,"https://jijinba.hexun.com/007142,jijinba.html",1.3796,01-27,37.96%,37.96%,37.96%,37.96%,--,--,-7.82%,37.96%,--,--,0,,
14,003371,招商招轩纯债债券A,https://jingzhifunds.hexun.com/003371.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003371,"https://jijinba.hexun.com/003371,jijinba.html",1.5086,10-19,35.29%,35.40%,34.00%,37.26%,43.00%,49.91%,36.28%,64.06%,--,--,0,,
15,002045,国泰生益混合C,https://jingzhifunds.hexun.com/002045.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002045,"https://jijinba.hexun.com/002045,jijinba.html",1.7098,05-04,0.05%,35.09%,32.83%,48.36%,69.79%,--,33.99%,71.15%,--,--,0,,
16,003372,招商招轩纯债债券C,https://jingzhifunds.hexun.com/003372.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=003372,"https://jijinba.hexun.com/003372,jijinba.html",1.4188,10-19,35.25%,35.00%,33.57%,36.70%,42.14%,48.69%,35.78%,53.70%,--,--,0,,
17,161223,国投创业指数分级,https://jingzhifunds.hexun.com/161223.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=161223,"https://jijinba.hexun.com/161223,jijinba.html",1.7140,06-24,18.13%,34.75%,39.36%,67.39%,29.11%,-2.46%,36.31%,-25.71%,--,0.50%,3,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=161223&knownChannel=hexun_jjjz_goumai,
18,002538,招商丰嘉混合A,https://jingzhifunds.hexun.com/002538.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=002538,"https://jijinba.hexun.com/002538,jijinba.html",1.3220,05-15,5.93%,32.60%,30.50%,35.57%,--,--,30.89%,38.96%,--,--,0,,
19,005899,国投品牌优势混合,https://jingzhifunds.hexun.com/005899.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=005899,"https://jijinba.hexun.com/005899,jijinba.html",1.5569,07-22,12.93%,31.16%,27.59%,44.20%,--,--,27.27%,55.69%,--,--,0,,
20,160808,长盛同瑞中证200,https://jingzhifunds.hexun.com/160808.shtml,https://jingzhifunds.hexun.com/database/jzzs.aspx?fundcode=160808,"https://jijinba.hexun.com/160808,jijinba.html",1.2320,08-18,6.02%,30.92%,26.62%,49.44%,59.41%,24.80%,33.44%,48.73%,4折,0.60%,1,https://emall.licaike.com/fund/purchase/FirstLoad.action?fundCode=160808&knownChannel=hexun_jjjz_goumai,https://emall.licaike.com/fund/fundplan/InitAdd.action?fundCode=160808&knownChannel=hexun_jjjz_dinggou
